t,x_obs,y_obs,x_pred,y_pred,beta_pred,beta_true
8.994974e-01,9.884750e+01,3.804483e+01,6.007524e+01,3.765364e+01,2.029552e-02,2.000000e-02
9.045227e-01,9.198039e+01,4.267775e+01,5.607912e+01,3.843205e+01,2.029552e-02,2.000000e-02
9.095477e-01,8.339330e+01,4.707464e+01,5.219219e+01,3.884781e+01,2.029552e-02,2.000000e-02
9.145728e-01,7.243794e+01,4.992501e+01,4.852315e+01,3.889846e+01,2.029552e-02,2.000000e-02
9.195980e-01,6.421729e+01,5.303601e+01,4.514680e+01,3.859995e+01,2.029552e-02,2.000000e-02
9.246231e-01,5.584723e+01,5.426179e+01,4.210611e+01,3.798472e+01,2.029552e-02,2.000000e-02
9.296482e-01,4.999549e+01,5.514746e+01,3.942044e+01,3.709853e+01,2.029552e-02,2.000000e-02
9.346734e-01,4.131572e+01,5.374317e+01,3.709274e+01,3.599581e+01,2.029552e-02,2.000000e-02
9.396985e-01,3.470239e+01,5.243557e+01,3.511464e+01,3.473418e+01,2.029552e-02,2.000000e-02
9.447236e-01,3.091010e+01,5.019481e+01,3.346891e+01,3.336832e+01,2.029552e-02,2.000000e-02
9.497488e-01,2.658321e+01,4.813998e+01,3.213260e+01,3.194547e+01,2.029552e-02,2.000000e-02
9.547738e-01,2.712019e+01,4.451199e+01,3.108004e+01,3.050231e+01,2.029552e-02,2.000000e-02
9.597990e-01,2.369413e+01,4.240439e+01,3.028587e+01,2.906477e+01,2.029552e-02,2.000000e-02
9.648241e-01,2.145626e+01,3.873986e+01,2.972709e+01,2.764982e+01,2.029552e-02,2.000000e-02
9.698492e-01,1.950895e+01,3.628567e+01,2.938457e+01,2.626860e+01,2.029552e-02,2.000000e-02
9.748743e-01,1.613226e+01,3.388485e+01,2.924342e+01,2.493015e+01,2.029552e-02,2.000000e-02
9.798995e-01,1.772854e+01,3.088259e+01,2.929311e+01,2.364428e+01,2.029552e-02,2.000000e-02
9.849246e-01,1.650422e+01,2.837800e+01,2.952710e+01,2.242371e+01,2.029552e-02,2.000000e-02
9.899497e-01,1.726480e+01,2.598275e+01,2.994254e+01,2.128394e+01,2.029552e-02,2.000000e-02
9.949749e-01,1.664740e+01,2.434141e+01,3.053978e+01,2.024168e+01,2.029552e-02,2.000000e-02
1.000000e+00,1.874612e+01,2.311176e+01,3.132171e+01,1.931234e+01,2.029552e-02,2.000000e-02
