x,t,u_pred,u_true,error,D_pred,D_true
3.673469e-01,7.142857e-01,4.256840e-01,4.022249e-01,2.345914e-02,1.229345e-01,1.370139e-01
3.673469e-01,7.346939e-01,4.174349e-01,4.094693e-01,7.965565e-03,1.232112e-01,1.370139e-01
3.673469e-01,7.551020e-01,4.093147e-01,4.103977e-01,1.083046e-03,1.235345e-01,1.370139e-01
3.673469e-01,7.755102e-01,4.013373e-01,4.128982e-01,1.156098e-02,1.238537e-01,1.370139e-01
3.673469e-01,7.959183e-01,3.935203e-01,3.953972e-01,1.876831e-03,1.239506e-01,1.370139e-01
3.673469e-01,8.163266e-01,3.858821e-01,3.746408e-01,1.124132e-02,1.234633e-01,1.370139e-01
3.673469e-01,8.367347e-01,3.784385e-01,3.964356e-01,1.799718e-02,1.222706e-01,1.370139e-01
3.673469e-01,8.571429e-01,3.712006e-01,3.714541e-01,2.535880e-04,1.206113e-01,1.370139e-01
3.673469e-01,8.775510e-01,3.641740e-01,3.541851e-01,9.988964e-03,1.185374e-01,1.370139e-01
3.673469e-01,8.979592e-01,3.573607e-01,3.723029e-01,1.494220e-02,1.158839e-01,1.370139e-01
3.673469e-01,9.183673e-01,3.507585e-01,3.386796e-01,1.207885e-02,1.126714e-01,1.370139e-01
3.673469e-01,9.387755e-01,3.443657e-01,3.362722e-01,8.093536e-03,1.088022e-01,1.370139e-01
3.673469e-01,9.591837e-01,3.381820e-01,3.361580e-01,2.023965e-03,1.043055e-01,1.370139e-01
3.673469e-01,9.795918e-01,3.322116e-01,3.372328e-01,5.021244e-03,9.954301e-02,1.370139e-01
3.673469e-01,1.000000e+00,3.264644e-01,3.243467e-01,2.117634e-03,9.511174e-02,1.370139e-01
3.877551e-01,0.000000e+00,9.383994e-01,9.585196e-01,2.012026e-02,1.152286e-01,1.324114e-01
3.877551e-01,2.040816e-02,9.102365e-01,9.197778e-01,9.541273e-03,1.244980e-01,1.324114e-01
3.877551e-01,4.081633e-02,8.842908e-01,8.847019e-01,4.111528e-04,1.288678e-01,1.324114e-01
3.877551e-01,6.122449e-02,8.608001e-01,8.693195e-01,8.519411e-03,1.299224e-01,1.324114e-01
3.877551e-01,8.163265e-02,8.392584e-01,8.567082e-01,1.744974e-02,1.289423e-01,1.324114e-01
3.877551e-01,1.020408e-01,8.191462e-01,8.060479e-01,1.309824e-02,1.277920e-01,1.324114e-01
3.877551e-01,1.224490e-01,8.001496e-01,7.840493e-01,1.610035e-02,1.269282e-01,1.324114e-01
3.877551e-01,1.428571e-01,7.821095e-01,7.712893e-01,1.082021e-02,1.263109e-01,1.324114e-01
3.877551e-01,1.632653e-01,7.649253e-01,7.654696e-01,5.442500e-04,1.256263e-01,1.324114e-01
3.877551e-01,1.836735e-01,7.484979e-01,7.520064e-01,3.508449e-03,1.245924e-01,1.324114e-01
3.877551e-01,2.040816e-01,7.327160e-01,7.217490e-01,1.096696e-02,1.230166e-01,1.324114e-01
3.877551e-01,2.244898e-01,7.174664e-01,7.125373e-01,4.929066e-03,1.211049e-01,1.324114e-01
3.877551e-01,2.448980e-01,7.026492e-01,7.007201e-01,1.929104e-03,1.195255e-01,1.324114e-01
3.877551e-01,2.653061e-01,6.881899e-01,6.761704e-01,1.201946e-02,1.184932e-01,1.324114e-01
3.877551e-01,2.857143e-01,6.740406e-01,6.794757e-01,5.435050e-03,1.180089e-01,1.324114e-01
3.877551e-01,3.061225e-01,6.601776e-01,6.696279e-01,9.450257e-03,1.180120e-01,1.324114e-01
3.877551e-01,3.265306e-01,6.465933e-01,6.443396e-01,2.253711e-03,1.183759e-01,1.324114e-01
3.877551e-01,3.469388e-01,6.332875e-01,6.345894e-01,1.301944e-03,1.189833e-01,1.324114e-01
