epoch,loss,loss/bc_bottom,loss/bc_left,loss/bc_right,loss/bc_top,loss/pde_residual,lr,step
113,0.008723175153136253,0.00040674323099665344,0.0004378541780170053,0.00042709187255240977,0.0004441619967110455,0.007007321808487177,,51299
,,,,,,,0.001,51300
114,0.007796889636665583,0.0005449989694170654,0.0005666339420713484,0.000570108531974256,0.0005883958074264228,0.00552675686776638,,51749
,,,,,,,0.001,51750
115,0.007639656774699688,0.000266609073150903,0.000284007954178378,0.0002783240925054997,0.00030164484633132815,0.006509066093713045,,52199
,,,,,,,0.001,52200
116,0.006654292810708284,0.0004185691359452903,0.000444002915173769,0.00043919114978052676,0.0004606190195772797,0.004891912452876568,,52649
,,,,,,,0.001,52650
117,0.006890015676617622,0.00038213335210457444,0.0004079574719071388,0.00040084082866087556,0.0004175543144810945,0.005281529389321804,,53099
,,,,,,,0.001,53100
118,0.007900084368884563,0.0003757503000088036,0.0004041121283080429,0.0004041458305437118,0.00042024365393444896,0.006295835133641958,,53549
,,,,,,,0.001,53550
119,0.0068531157448887825,0.00034930199035443366,0.0003729632298927754,0.0003702023532241583,0.0003829372290056199,0.0053777131251990795,,53999
,,,,,,,0.001,54000
120,0.01026744395494461,0.0005520009435713291,0.0006235333858057857,0.0006126811495050788,0.0006003053858876228,0.007878920994699001,,54449
,,,,,,,0.001,54450
121,0.00809246301651001,0.0005189628573134542,0.0005474199424497783,0.0005462092231027782,0.0005607460625469685,0.00591912679374218,,54899
,,,,,,,0.001,54900
122,0.007456235587596893,0.0004714837414212525,0.000511456630192697,0.0005120182177051902,0.0005152708035893738,0.005446003284305334,,55349
,,,,,,,0.001,55350
123,0.0068148477002978325,0.0003230932343285531,0.00035005284007638693,0.0003488750953692943,0.00036077111144550145,0.005432054400444031,,55799
,,,,,,,0.001,55800
124,0.007628601510077715,0.00031275497167371213,0.00033060740679502487,0.000339785881806165,0.0003308241139166057,0.006314629223197699,,56249
,,,,,,,0.001,56250
125,0.007736522238701582,0.0004967495915479958,0.0005326740792952478,0.0005282997153699398,0.0005366523982957006,0.00564214400947094,,56699
,,,,,,,0.001,56700
126,0.007548804394900799,0.0003160533378832042,0.0003544892533682287,0.0003398443222977221,0.0003497659636195749,0.006188652943819761,,57149
,,,,,,,0.001,57150
127,0.006234786473214626,0.0002848119765985757,0.00030223061912693083,0.00030243166838772595,0.0003127907984890044,0.005032521206885576,,57599
,,,,,,,0.001,57600
128,0.006455658469349146,0.00029940236709080637,0.00032328840461559594,0.0003182987275067717,0.00033172397525049746,0.0051829395815730095,,58049
,,,,,,,0.001,58050
129,0.006227016914635897,0.0002814852341543883,0.000294208963168785,0.00030130238155834377,0.0003079311572946608,0.00504208542406559,,58499
,,,,,,,0.001,58500
130,0.008621975779533386,0.0008371940348297358,0.0008977435063570738,0.0008950104820542037,0.0009043475729413331,0.005087682977318764,,58949
,,,,,,,0.001,58950
131,0.006171945482492447,0.00021832638594787568,0.00023576809326186776,0.0002337018959224224,0.0002448117302265018,0.005239340476691723,,59399
,,,,,,,0.001,59400
132,0.013261096552014351,0.0005630827508866787,0.0006077156285755336,0.0005802909145131707,0.0006033135578036308,0.010906687006354332,,59849
,,,,,,,0.001,59850
133,0.008393178693950176,0.0007298224954865873,0.0007843957864679396,0.0007788740913383663,0.0007906855316832662,0.005309403408318758,,60299
,,,,,,,0.001,60300
134,0.005900239106267691,0.00021121274039614946,0.0002311370917595923,0.0002387435088166967,0.00024041162396315485,0.004978727083653212,,60749
,,,,,,,0.001,60750
135,0.0060144755989313126,0.00031307744211517274,0.0003358348330948502,0.0003369479381944984,0.00033633457496762276,0.004692280665040016,,61199
,,,,,,,0.001,61200
136,0.005935703869909048,0.00027371736359782517,0.0002993381640408188,0.00029296905267983675,0.0003050522063858807,0.004764629527926445,,61649
,,,,,,,0.001,61650
137,0.0068320925347507,0.0002617252466734499,0.0002911171759478748,0.0002755315799731761,0.00028659714735113084,0.005717121530324221,,62099
,,,,,,,0.001,62100
138,0.0075118145905435085,0.00046595162712037563,0.0005059262039139867,0.000496196560561657,0.0005028080777265131,0.005540927872061729,,62549
,,,,,,,0.001,62550
139,0.006101890467107296,0.00022139416250865906,0.00024135911371558905,0.0002394810289843008,0.0002460993709973991,0.005153560545295477,,62999
,,,,,,,0.001,63000
140,0.005500196944922209,0.0002853292098734528,0.00031578855123370886,0.0003026910708285868,0.0003128703392576426,0.00428351853042841,,63449
,,,,,,,0.001,63450
141,0.005680091213434935,0.0002608039940241724,0.0002887837472371757,0.0002838590007741004,0.0002884200948756188,0.004558223765343428,,63899
,,,,,,,0.001,63900
142,0.004945605527609587,0.00036542434827424586,0.00039023178396746516,0.00038823188515380025,0.0003997839230578393,0.00340193510055542,,64349
,,,,,,,0.001,64350
143,0.006607157178223133,0.000310257775709033,0.0003447050985414535,0.0003345512377563864,0.00035084638511762023,0.005266799591481686,,64799
,,,,,,,0.001,64800
144,0.007544039748609066,0.00036939766141586006,0.00040511824772693217,0.0003977722954005003,0.00039928671321831644,0.005972462240606546,,65249
,,,,,,,0.001,65250
145,0.0056032054126262665,0.0002812060120049864,0.0003045960911549628,0.00030344046535901725,0.00030933041125535965,0.004404631908982992,,65699
,,,,,,,0.001,65700
146,0.007300457451492548,0.000414583453675732,0.0004594789643306285,0.0004480255302041769,0.0004504082025960088,0.005527962930500507,,66149
,,,,,,,0.001,66150
147,0.004801844712346792,0.00023627500922884792,0.00025428630760870874,0.00025265992735512555,0.00025799579452723265,0.0038006259128451347,,66599
,,,,,,,0.001,66600
148,0.006667293608188629,0.0002558720007073134,0.0002777377376332879,0.00027222276548855007,0.00028178017237223685,0.005579680670052767,,67049
,,,,,,,0.001,67050
149,0.004908916540443897,0.00028005713829770684,0.0003048906510230154,0.00030092732049524784,0.0003058408619835973,0.0037172026932239532,,67499
,,,,,,,0.001,67500
150,0.008338208310306072,0.0007470296113751829,0.0008075120858848095,0.0007984616095200181,0.0008039162494242191,0.005181286949664354,,67949
,,,,,,,0.001,67950
151,0.008808400481939316,0.0006030702497810125,0.0006567839300259948,0.0006527058430947363,0.0006519382004626095,0.006243904586881399,,68399
,,,,,,,0.001,68400
152,0.007175159640610218,0.00034264972782693803,0.00037317475653253496,0.0003693504841066897,0.0003802060382440686,0.005709778051823378,,68849
,,,,,,,0.001,68850
153,0.005772321950644255,0.00026027567218989134,0.00028482041670940816,0.00027496941038407385,0.0002829220611602068,0.004669336136430502,,69299
,,,,,,,0.001,69300
154,0.005234288517385721,0.0002223114133812487,0.00023893419711384922,0.000236323379795067,0.0002407447318546474,0.004295972175896168,,69749
,,,,,,,0.001,69750
155,0.00602009566500783,0.00031028350349515676,0.0003348882310092449,0.00033568829530850053,0.0003432838711887598,0.004695951472967863,,70199
,,,,,,,0.001,70200
156,0.005213412921875715,0.0002631638781167567,0.0002846917195711285,0.0002804793184623122,0.00028330355416983366,0.004101775120943785,,70649
,,,,,,,0.001,70650
157,0.009603660553693771,0.0005887146689929068,0.0006749035674147308,0.000635073462035507,0.0006659106002189219,0.007039058022201061,,71099
,,,,,,,0.001,71100
158,0.006034812889993191,0.0002852777543012053,0.0003127313102595508,0.00030814477941021323,0.0003123482165392488,0.004816313739866018,,71549
,,,,,,,0.001,71550
159,0.006427680142223835,0.0003479306760709733,0.00037477246951311827,0.00037155410973355174,0.0003741942928172648,0.004959229379892349,,71999
,,,,,,,0.001,72000
160,0.00600711302831769,0.00027802441036328673,0.0003033658431377262,0.00030551833333447576,0.00030567822977900505,0.00481452327221632,,72449
,,,,,,,0.001,72450
161,0.007067949045449495,0.0005122254369780421,0.0005509260226972401,0.0005433445912785828,0.0005440493696369231,0.004917402286082506,,72899
,,,,,,,0.001,72900
162,0.005650174804031849,0.0002146316837752238,0.00022972120495978743,0.00023341177438851446,0.0002327469555893913,0.004739663563668728,,73349
,,,,,,,0.001,73350
163,0.006586796138435602,0.0004431366396602243,0.0004827814409509301,0.00048338359920307994,0.00048138771671801805,0.004696106072515249,,73799
,,,,,,,0.001,73800
164,0.005227372981607914,0.00024338667572010309,0.00025860973983071744,0.00026262470055371523,0.00026307327789254487,0.004199677146971226,,74249
,,,,,,,0.001,74250
165,0.006490893196314573,0.000344975502230227,0.0003749082097783685,0.00036802192335017025,0.00037385994801297784,0.005029125604778528,,74699
,,,,,,,0.001,74700
166,0.007457525935024023,0.00048748403787612915,0.0005241231410764158,0.0005247246590442955,0.0005235971766524017,0.005397595930844545,,75149
,,,,,,,0.001,75150
167,0.006823036819696426,0.0003090216196142137,0.00033011159393936396,0.0003278479562141001,0.00033464792068116367,0.0055214050225913525,,75599
,,,,,,,0.001,75600
168,0.005646569654345512,0.00021329971787054092,0.00022798634017817676,0.00023444353428203613,0.00023151900677476078,0.004739319905638695,,76049
,,,,,,,0.001,76050
169,0.005291526671499014,0.000269012845819816,0.00028852082323282957,0.00029011693550273776,0.00029267725767567754,0.00415119668468833,,76499
,,,,,,,0.001,76500
170,0.00668178778141737,0.0004936063778586686,0.0005340074421837926,0.0005266819498501718,0.0005227031651884317,0.004604794550687075,,76949
,,,,,,,0.001,76950
171,0.006395289674401283,0.0003228027489967644,0.00034992198925465345,0.00034621069789864123,0.0003510272363200784,0.005025327671319246,,77399
,,,,,,,0.001,77400
172,0.006102054379880428,0.00033574667759239674,0.0003687032440211624,0.0003687291464302689,0.00036956218536943197,0.0046593076549470425,,77849
,,,,,,,0.001,77850
173,0.00495507288724184,0.00024251370632555336,0.00026040716329589486,0.0002635194396134466,0.000262951449258253,0.003925679717212915,,78299
,,,,,,,0.001,78300
174,0.00879763439297676,0.0003166701062582433,0.00034420634619891644,0.00035024923272430897,0.0003490661329124123,0.007437443360686302,,78749
,,,,,,,0.001,78750
175,0.004974587354809046,0.0003021546290256083,0.0003269548760727048,0.0003290560853201896,0.0003295240749139339,0.0036868948955088854,,79199
,,,,,,,0.001,79200
