epoch,loss,loss/D_u,loss/D_v,loss/F,loss/bc_bottom_u,loss/bc_bottom_v,loss/bc_left_u,loss/bc_left_v,loss/bc_right_u,loss/bc_right_v,loss/bc_top_u,loss/bc_top_v,loss/data,loss/ic_u,loss/ic_v,loss/k,loss/pde_u,loss/pde_v,loss/smma,lr,step
,,,,,,,,,,,,,,,,,,,,0.0009993951178399454,2961
47,0.12458549439907074,0.5924714207649231,0.03351062536239624,1.9306734800338745,0.00012337362568359822,9.53508606471587e-06,5.831654561916366e-05,5.535387572308537e-06,0.0001751870586303994,9.584822691977024e-06,0.00018886257021222264,7.873196409491356e-06,0.0064768921583890915,0.0824158638715744,0.029551148414611816,1.333992838859558,0.004471411928534508,0.0010918936459347606,0.681505024433136,,3023
,,,,,,,,,,,,,,,,,,,,0.0009993691098247057,3024
48,0.17700961232185364,0.6572338938713074,0.03663894906640053,2.0302860736846924,0.00013122727978043258,1.722371598589234e-05,0.00013420394679997116,8.994904419523664e-06,0.0001389082899549976,1.566503124195151e-05,0.00019098696066066623,1.2187215361336712e-05,0.005403114017099142,0.07895736396312714,0.025670943781733513,1.4086668491363525,0.06547176837921143,0.0008570270147174597,0.6562802195549011,,3086
,,,,,,,,,,,,,,,,,,,,0.00099934255473832,3087
49,0.12683439254760742,0.7124078869819641,0.04215294122695923,2.1169016361236572,7.940967043396086e-05,1.2240939213370439e-05,7.764835754642263e-05,1.206128581543453e-05,0.00012393003271427006,1.3588372894446366e-05,9.243171371053904e-05,1.8444789020577446e-05,0.005289197899401188,0.08857831358909607,0.024187177419662476,1.435755729675293,0.00772199546918273,0.0006279750959947705,0.6298079490661621,,3149
,,,,,,,,,,,,,,,,,,,,0.0009993154526099094,3150
50,0.12087693065404892,0.7613316178321838,0.049471642822027206,2.1916728019714355,0.00011939828982576728,8.629003787063994e-06,0.00010323325113859028,1.0304366696800571e-05,0.0002169505605706945,8.926734153646976e-06,0.00015502440510317683,1.4502254998660646e-05,0.00487883947789669,0.08222707360982895,0.02515418827533722,1.4730898141860962,0.007025685161352158,0.0009542004554532468,0.6043614149093628,,3212
,,,,,,,,,,,,,,,,,,,,0.0009992878034691948,3213
51,0.12607324123382568,0.8185286521911621,0.05420239269733429,2.2775776386260986,7.531206210842356e-05,1.0187492989643943e-05,0.00011439056106610224,4.448069830687018e-06,5.3322070016292855e-05,3.943768206227105e-06,9.983628115151078e-05,4.3550890040933155e-06,0.005388458259403706,0.07921008765697479,0.03001057729125023,1.5450993776321411,0.010641404427587986,0.00045692228013649583,0.5804469585418701,,3275
